AE|AALBORG|109900|0|1|195|57095197|9838178|33|EK
AEA|ALGHERO|111650|1|1|195|40638167|8291778|102|LI
AEL|ALBERT LEA|109800|1|1|195|43681736|-93370756|1252|K3
AEX|ALEXANDRIA|116100|1|1|195|31256731|-92500972|76|K4
AFI|AFFLIGEM|114900|1|1|195|50907667|4138972|300|EB
AG|SEMBAWANG SINGAPORE|325000|0|0|195|1423889|103820278|0|WS
AG|BUSHE AUGUSTA|233000|0|0|195|33286886|-81946853|301|K7
AG|HOUARI BOUMEDIENE|110300|0|1|195|36710150|3249167|131|DA
AG|KERBEN|560000|0|0|195|41479133|71728983|0|UC
AG|AGOY|381000|0|0|195|44139444|39026667|0|UR
AG|YERBOGACHEN|735000|0|0|195|61276667|108028333|0|UE
AGB|AUGSBURG|318000|0|0|195|48424297|10933094|0|ED
AGC|ALLEGHENY PITTSBURGH|110000|1|1|195|40278644|-80040856|1289|K6
AGD|ALTENBURG|115300|0|1|195|50982689|12512283|650|ED
AGG|AGALEGA|429000|0|0|195|-10366667|56600000|0|FI
AGG|AGRA|112000|1|1|195|27157278|77956556|570|VI
AGH|ANCHIALOS|110400|1|1|195|39216489|22794922|68|LG
AGJ|GOOCH SPRINGS|112500|1|1|195|31185506|-98141858|1191|K4
AGN|AGEN|114800|0|1|195|43888028|872861|896|LF
AGO|AGOY|116800|0|1|195|44138889|39025000|131|UR
AGP|MALAGA|117150|1|1|195|36684333|-4487333|1|LE
AGU|MONTEAGUDO|305000|0|0|195|-19822778|-63961944|0|SL
AGU|AGUASCALIENTES|113600|1|1|195|21711400|-102319047|6073|MM
AGV|AGGENEYS|116700|1|1|195|-29481019|18562492|2648|FA
AGV|ACARIGUA|113400|1|1|195|9552083|-69237917|758|SV
AGZ|WAGNER|392000|0|0|195|43063392|-98293169|1463|K3
AGZ|AYAGUZ|113600|1|1|195|47931111|80449722|2200|UA
AH|ANTALAHA|321000|0|0|195|-14998917|50317917|0|FM
AH|ANGELHOLM|417000|0|0|195|56266167|12900750|0|ES
AHC|AMEDEE HERLONG|109000|1|1|195|40267864|-120151967|4005|K2
AHD|ASHGABAT|108700|0|1|195|37985694|58378444|700|UT
AHN|ATHENS|116950|1|1|195|33947594|-83324758|793|K7
AHO|ALGHERO|109300|0|1|195|40636056|8289556|121|LI
AHQ|WAHOO|400000|0|0|195|41239003|-96598661|1222|K3
AHR|HERAT|116200|1|1|195|34206944|62232778|3323|OA
AHR|ARVAIKHEER|115600|0|1|195|46257778|102790556|6004|ZM
AHT|ASHIYA|108600|0|1|195|33887428|130649867|98|RJ
AI|AITUTAKI|320000|0|0|195|-18824800|-159773433|114|NC
AI|AUKI|360000|0|0|195|-8701389|160680833|0|AG
AI|UYO|397000|0|0|195|4849028|8082194|0|DN
AI|ADDMO ARDMORE|400000|0|0|195|34232347|-96933108|710|K4
AI|VIDEO ANDERSON|394000|0|0|195|40069528|-85510686|968|K5
AIA|ALLIANCE|111800|1|1|195|42055631|-102804444|3925|K3
AIK|AIKEN|347000|0|0|195|33651800|-81676972|493|K7
AIR|BELLAIRE|117100|1|1|195|40017025|-80817228|1307|K5
AJ|AGHAJARI|365000|0|0|195|30741250|49684083|0|OI
AJ|KRASNOYARSK|685000|0|0|195|56183472|92448972|0|UN
AJ|STARITSA|430000|0|0|195|56517500|34936389|700|UU
AJA|MOUNT MACAJNA GUAM|385000|0|0|195|13453506|144736933|658|PG
AJD|AWAJI|115600|0|1|195|34270378|134713014|884|RJ
AJF|AL JOUF|117800|1|1|195|29789528|40071694|2200|OE
AJO|AJACCIO|114800|1|1|195|41770528|8774667|2142|LF
AJR|AGHAJARI|114900|1|1|195|30744750|49680361|51|OI
AK|AKRON|362000|0|0|195|41069733|-81387367|1149|K5
AKB|AKTOBE|113400|1|1|195|50263417|57181889|700|UA
AKE|AMAKUSA|113450|1|1|195|32480236|130160967|351|RJ
AKI|AKHISAR|110200|0|1|195|38819500|27827222|285|LT
AKI|AKUREYRI|113600|1|1|195|65759806|-18004111|2100|BI
AKJ|AL KHARJ|117300|1|1|195|24068194|47407444|1500|OE
AKN|KING SALMON|112800|1|1|195|58724714|-156752347|95|PA
AKO|AKRON|114400|1|1|195|40155556|-103179714|4623|K2
AKQ|WAKEFIELD|274000|0|0|195|36982819|-77000972|105|K6
AKR|AKROTIRI|116000|0|1|195|34583958|33012536|46|LC
AKT|AKENO|112050|0|1|195|34528528|136675167|100|RJ
AKT|PREVEZA|110000|1|1|195|38925914|20762178|35|LG
AKT|AKTAU|113300|1|1|195|43872306|51064417|100|UA
AKW|UYO|113800|1|1|195|4895278|8104944|201|DN
AKW|KLAWOCK|115800|0|1|195|55568417|-133080947|52|PA
AL|HALIM PERDANAKUSUMA JAKARTA|215000|0|0|195|-6193972|107040028|0|WI
AL|SANYA|205000|0|0|195|18315497|109506589|0|ZJ
AL|HOUARI BOUMEDIENE|109500|0|1|195|36690133|3206547|82|DA
AL|HAWKY ALBANY|219000|0|0|195|42817306|-73808500|0|K6
AL|TRINA WALLA WALLA|353000|0|0|195|46175567|-118196358|1443|K1
AL|ALGASOVO|694000|0|0|195|53680278|41679722|250|UU
AL|YUZHNY IVANOVO|326000|0|0|195|56967639|40855972|0|UU
AL|BAYKIT|470000|0|0|195|61700556|96476111|0|UN
ALA|AL AIN|115900|1|1|195|24282000|55614806|843|OM
